ur,eta,xi
11.600000000000009,0.010407973940234072,0.4349752256558136
11.70000000000001,0.010349963213108104,0.4337313448648772
11.80000000000001,0.010293662723748653,0.43253061628632566
11.90000000000001,0.010239220676147465,0.4313770784858601
12.00000000000001,0.010186492180754847,0.4302629713301889
12.10000000000001,0.010135936859884787,0.42918476499163283
12.20000000000001,0.010087086801278566,0.42815263055245895
12.30000000000001,0.010040002841980034,0.4271519749026078
12.40000000000001,0.010001866626166755,0.42619786848850805
12.50000000000001,0.009954884868824898,0.4252582219192385
12.60000000000001,0.009908728253513743,0.4243502826969422
12.70000000000001,0.009864834085874463,0.42350787715856597
12.800000000000011,0.00983411759484909,0.4226412140234909
12.900000000000011,0.009787064661189948,0.42181496448604516
13.00000000000001,0.009750990652778846,0.42098210551286036
